Player Name,Team,Games Played,Games Started,Minutes Played,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Offsides,Corner Kicks,Penalty Kicks Attempted,Penalty Kick Goals,Yellow Cards,Red Cards,Season,Position
Sam Kerr,CHI,6,6,540,6,1,21,14,2,11,0,0,0,1,0,2019,Attacker
Crystal Dunn,NC,3,3,253,4,1,9,8,2,0,0,0,0,0,0,2019,Defender
Amy Rodriguez,UTA,7,7,586,4,0,20,11,9,5,0,1,1,1,0,2019,Attacker
Caitlin Foord,POR,5,5,447,3,1,11,6,7,11,0,1,0,0,0,2019,Attacker
Kristen Hamilton,NC,8,5,414,3,1,13,5,7,0,0,0,0,0,0,2019,Attacker
Lynn Williams,NC,8,8,704,3,2,26,13,2,14,2,1,0,0,0,2019,Attacker
Yuki Nagasato,CHI,8,8,688,3,3,7,5,6,1,0,1,1,0,0,2019,Attacker
Rachel Daly,HOU,5,5,449,3,0,17,13,8,9,0,0,0,0,1,2019,Attacker
Margaret Purce,POR,5,1,161,3,0,7,5,5,4,0,0,0,0,0,2019,Midfielder
Christine Sinclair,POR,3,3,270,3,1,7,4,2,0,0,1,1,0,0,2019,Attacker
Bethany Balcer,SEA,7,4,410,3,0,16,9,4,3,0,0,0,0,0,2019,Midfielder
Ashley Hatch,WAS,7,7,597,3,0,13,6,15,4,0,0,0,0,0,2019,Attacker
Tobin Heath,POR,3,3,270,2,1,10,6,3,3,18,0,0,0,0,2019,Attacker
Cheyna Matthews,WAS,5,4,332,2,1,10,7,8,3,0,0,0,2,0,2019,Attacker
Carli Lloyd,NJ,3,3,270,2,0,9,4,5,0,0,1,0,1,0,2019,Attacker
Raquel Rodriguez,NJ,7,7,618,2,1,5,3,10,0,0,0,0,0,0,2019,Midfielder
Sofia Huerta,HOU,7,7,620,2,1,9,6,2,3,18,1,0,0,0,2019,Midfielder
Jordan DiBiasi,WAS,7,7,630,2,0,5,3,3,3,21,0,0,0,0,2019,Midfielder
Michele Vasconcelos,CHI,8,4,359,2,2,12,3,3,1,0,0,0,1,0,2019,Midfielder
Ana-Maria Crnogorcevic,POR,7,7,551,1,1,7,2,3,0,0,0,0,0,0,2019,Attacker
Alanna Kennedy,ORL,4,4,360,1,0,5,3,2,0,0,0,0,1,0,2019,Defender
Toni Pressley,ORL,3,3,270,1,0,1,1,2,0,0,0,0,0,0,2019,Defender
Dagný Brynjarsdóttir,POR,7,5,457,1,0,5,2,6,0,0,0,0,1,0,2019,Midfielder
Andressinha,POR,2,2,151,1,0,1,1,0,0,9,0,0,0,0,2019,Midfielder
Brooke Elby,CHI,6,1,82,1,0,2,1,4,1,2,0,0,0,0,2019,Defender
Marissa Everett,POR,2,0,23,1,0,3,2,0,1,1,0,0,0,0,2019,Attacker
Kealia Ohai,HOU,6,6,482,1,0,10,4,4,1,0,0,0,0,0,2019,Attacker
Nichelle Prince,HOU,4,4,343,1,0,11,9,6,4,0,0,0,0,0,2019,Attacker
Casey Short,CHI,7,7,615,1,0,8,4,6,1,0,0,0,1,0,2019,Defender
Elizabeth Eddy,NC,3,0,65,1,0,2,1,0,0,0,0,0,0,0,2019,Midfielder
Emily Sonnett,POR,3,3,270,1,0,4,2,2,1,0,0,0,0,0,2019,Defender
Abby Erceg,NC,7,7,630,1,0,10,4,1,0,0,0,0,0,0,2019,Defender
Shea Groom,SEA,7,7,630,1,0,14,4,12,3,0,0,0,1,0,2019,Attacker
Shea Groom,SEA,7,7,630,1,0,14,4,12,3,0,0,0,1,0,2019,Attacker
Darian Jenkins,SEA,5,5,313,1,0,7,3,9,1,0,0,0,0,0,2019,Attacker
Darian Jenkins,SEA,5,5,313,1,0,7,3,9,1,0,0,0,0,0,2019,Attacker
Jodie Taylor,SEA,5,5,415,1,1,16,8,3,13,0,1,0,1,0,2019,Attacker
Imani Dorsey,NJ,7,7,625,1,0,12,6,9,6,0,0,0,0,0,2019,Attacker
Samantha Staab,WAS,7,7,630,1,0,3,2,2,0,0,0,0,1,0,2019,Defender
Jessica McDonald,NC,3,3,217,1,1,4,4,1,3,0,0,0,0,0,2019,Attacker
Makenzy Doniak,UTA,4,1,98,1,0,1,1,0,0,0,0,0,0,0,2019,Midfielder
Lo’eau LaBonta,UTA,6,6,468,1,0,3,2,6,0,6,0,0,0,0,2019,Midfielder
Christen Press,UTA,2,2,180,1,1,7,3,3,3,4,0,0,0,0,2019,Attacker
Leah Pruitt,NC,7,2,273,1,1,11,6,4,1,0,0,0,1,0,2019,Attacker
Dorian Bailey,WAS,6,2,280,1,0,3,2,2,0,0,0,0,0,0,2019,Midfielder
Megan Crosson,WAS,4,1,141,1,0,1,1,3,0,0,0,0,0,0,2019,Defender
Julia Spetsmark,NC,5,2,166,1,0,6,2,3,4,0,0,0,0,0,2019,Midfielder
Christine Nairn,HOU,6,6,533,1,0,3,2,5,1,9,0,0,2,0,2019,Midfielder
Debinha,NC,4,3,299,1,1,16,5,1,1,10,0,0,0,0,2019,Midfielder
Ally Prisock,HOU,1,1,90,0,0,0,0,2,0,0,0,0,1,0,2019,Defender
Arianna Jeanette Romero Tellez,HOU,4,3,288,0,1,0,0,2,0,0,0,0,0,0,2019,Defender
Sophie Schmidt,HOU,4,4,303,0,0,3,2,5,0,0,0,0,2,0,2019,Midfielder
Kyah Simon,HOU,2,0,49,0,1,1,0,1,0,0,0,0,0,0,2019,Attacker
Riley Smith,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Abby Dahlkemper,NC,3,3,270,0,0,0,0,0,0,24,0,0,0,0,2019,Defender
Katlyn Johnson,CHI,6,5,421,0,0,11,3,11,3,0,0,0,1,1,2019,Attacker
Katlyn Johnson,CHI,6,5,421,0,0,11,3,11,3,0,0,0,1,1,2019,Attacker
Danielle Colaprico,CHI,7,7,616,0,0,1,0,5,0,17,0,0,0,0,2019,Midfielder
Alyssa Mautz,CHI,3,3,216,0,0,2,0,2,0,0,0,0,0,0,2019,Midfielder
Allyson Paige Haran,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,Defender
Jaelene Hinkle,NC,8,8,720,0,3,3,0,6,1,3,0,0,0,0,2019,Defender
